gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,176.132003,1190,1990656,16,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.391926,15,0.332433,-nan,-nan,0.394245,-nan,-nan
0.385341,15,0.322917,-nan,-nan,0.387631,-nan,-nan
0.390434,15,0.329485,-nan,-nan,0.392690,-nan,-nan
0.395234,11,0.324129,-nan,-nan,0.397602,-nan,-nan
0.422067,11,0.328710,-nan,-nan,0.425935,-nan,-nan
0.418550,13,0.322520,-nan,-nan,0.421011,-nan,-nan
0.401388,14,0.322864,-nan,-nan,0.403716,-nan,-nan
0.392850,13,0.319886,-nan,-nan,0.395325,-nan,-nan
0.399383,15,0.324072,-nan,-nan,0.401871,-nan,-nan
0.421158,15,0.320801,-nan,-nan,0.423432,-nan,-nan
0.385156,14,0.328312,-nan,-nan,0.385336,-nan,-nan
0.396811,14,0.327968,-nan,-nan,0.399316,-nan,-nan
0.382607,14,0.323823,-nan,-nan,0.383182,-nan,-nan
0.389976,14,0.325588,-nan,-nan,0.392141,-nan,-nan
0.388682,14,0.324479,-nan,-nan,0.389905,-nan,-nan
0.389917,13,0.325524,-nan,-nan,0.392794,-nan,-nan
0.384533,14,0.323697,-nan,-nan,0.386865,-nan,-nan
0.389353,14,0.324400,-nan,-nan,0.390704,-nan,-nan
0.400470,14,0.321276,-nan,-nan,0.400747,-nan,-nan
0.393432,14,0.326667,-nan,-nan,0.394511,-nan,-nan
