gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,171.916118,1280,2211840,14,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.431092,14,0.363708,-nan,-nan,0.431236,-nan,-nan
0.421123,14,0.357137,-nan,-nan,0.421272,-nan,-nan
0.417768,14,0.357469,-nan,-nan,0.417914,-nan,-nan
0.437942,15,0.356299,-nan,-nan,0.438107,-nan,-nan
0.448374,14,0.351385,-nan,-nan,0.448545,-nan,-nan
0.421978,14,0.355422,-nan,-nan,0.422134,-nan,-nan
0.439462,14,0.350690,-nan,-nan,0.439607,-nan,-nan
0.429981,14,0.353274,-nan,-nan,0.430127,-nan,-nan
0.427140,14,0.353688,-nan,-nan,0.427286,-nan,-nan
0.426083,14,0.352291,-nan,-nan,0.426231,-nan,-nan
0.418428,14,0.354717,-nan,-nan,0.418573,-nan,-nan
0.421784,14,0.355873,-nan,-nan,0.421930,-nan,-nan
0.416220,14,0.353678,-nan,-nan,0.416366,-nan,-nan
0.418716,14,0.361786,-nan,-nan,0.418885,-nan,-nan
0.433863,14,0.357145,-nan,-nan,0.434006,-nan,-nan
0.424842,14,0.354971,-nan,-nan,0.424997,-nan,-nan
0.436220,14,0.365649,-nan,-nan,0.436363,-nan,-nan
0.435501,13,0.354699,-nan,-nan,0.435648,-nan,-nan
0.438817,12,0.355334,-nan,-nan,0.438959,-nan,-nan
0.440640,14,0.357735,-nan,-nan,0.440794,-nan,-nan
