gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,169.144455,1293,2211840,2,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.404763,14,0.347683,-nan,-nan,0.405404,-nan,-nan
0.402269,14,0.345217,-nan,-nan,0.402901,-nan,-nan
0.404579,13,0.345887,-nan,-nan,0.405310,-nan,-nan
0.402146,13,0.344093,-nan,-nan,0.402805,-nan,-nan
0.403430,14,0.345965,-nan,-nan,0.403818,-nan,-nan
0.410834,13,0.348367,-nan,-nan,0.410938,-nan,-nan
0.401651,14,0.344038,-nan,-nan,0.402019,-nan,-nan
0.406271,14,0.344245,-nan,-nan,0.406613,-nan,-nan
0.401607,14,0.344621,-nan,-nan,0.401969,-nan,-nan
0.397848,14,0.343984,-nan,-nan,0.398195,-nan,-nan
0.398560,14,0.346293,-nan,-nan,0.398825,-nan,-nan
0.403649,14,0.344431,-nan,-nan,0.404306,-nan,-nan
0.395947,14,0.347345,-nan,-nan,0.396583,-nan,-nan
0.409397,13,0.348569,-nan,-nan,0.409768,-nan,-nan
0.397592,13,0.346292,-nan,-nan,0.397918,-nan,-nan
0.403092,14,0.349083,-nan,-nan,0.403813,-nan,-nan
0.395578,13,0.346551,-nan,-nan,0.395890,-nan,-nan
0.404194,14,0.346140,-nan,-nan,0.404310,-nan,-nan
0.410565,14,0.343665,-nan,-nan,0.410652,-nan,-nan
0.399581,14,0.343497,-nan,-nan,0.399684,-nan,-nan
