gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,173.360481,1080,1327104,16,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.270545,14,0.219831,-nan,-nan,0.272584,-nan,-nan
0.270150,14,0.213844,-nan,-nan,0.270557,-nan,-nan
0.264456,14,0.214161,-nan,-nan,0.264836,-nan,-nan
0.250149,13,0.213796,-nan,-nan,0.251342,-nan,-nan
0.266379,14,0.214232,-nan,-nan,0.268616,-nan,-nan
0.287234,12,0.216578,-nan,-nan,0.289476,-nan,-nan
0.290971,10,0.215467,-nan,-nan,0.291103,-nan,-nan
0.293608,12,0.217466,-nan,-nan,0.295032,-nan,-nan
0.267163,12,0.215974,-nan,-nan,0.268492,-nan,-nan
0.270539,13,0.213521,-nan,-nan,0.271898,-nan,-nan
0.279764,10,0.222116,-nan,-nan,0.281039,-nan,-nan
0.261976,11,0.215980,-nan,-nan,0.263305,-nan,-nan
0.267828,12,0.217437,-nan,-nan,0.269153,-nan,-nan
0.289471,11,0.215359,-nan,-nan,0.291938,-nan,-nan
0.266159,9,0.221389,-nan,-nan,0.267402,-nan,-nan
0.280736,10,0.213118,-nan,-nan,0.281974,-nan,-nan
0.266212,12,0.214284,-nan,-nan,0.267397,-nan,-nan
0.268362,11,0.215862,-nan,-nan,0.269539,-nan,-nan
0.269015,11,0.215253,-nan,-nan,0.270271,-nan,-nan
0.276926,13,0.213456,-nan,-nan,0.278184,-nan,-nan
