gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,174.422316,1264,2211840,15,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.423718,14,0.358952,-nan,-nan,0.425985,-nan,-nan
0.444481,9,0.354987,-nan,-nan,0.444642,-nan,-nan
0.454948,12,0.354200,-nan,-nan,0.457165,-nan,-nan
0.473076,12,0.353216,-nan,-nan,0.475430,-nan,-nan
0.443525,13,0.353868,-nan,-nan,0.445686,-nan,-nan
0.451060,10,0.353312,-nan,-nan,0.453189,-nan,-nan
0.436993,11,0.360692,-nan,-nan,0.439093,-nan,-nan
0.438404,11,0.353960,-nan,-nan,0.440501,-nan,-nan
0.427614,13,0.353525,-nan,-nan,0.427751,-nan,-nan
0.434930,13,0.354789,-nan,-nan,0.436006,-nan,-nan
0.425379,13,0.352607,-nan,-nan,0.426568,-nan,-nan
0.448241,14,0.355664,-nan,-nan,0.448397,-nan,-nan
0.429145,11,0.359501,-nan,-nan,0.429282,-nan,-nan
0.454586,13,0.356055,-nan,-nan,0.454734,-nan,-nan
0.427685,13,0.353547,-nan,-nan,0.427829,-nan,-nan
0.466471,11,0.356220,-nan,-nan,0.466613,-nan,-nan
0.463326,10,0.350492,-nan,-nan,0.463462,-nan,-nan
0.461754,10,0.352966,-nan,-nan,0.461903,-nan,-nan
0.470069,10,0.351733,-nan,-nan,0.470208,-nan,-nan
0.451468,10,0.355441,-nan,-nan,0.451602,-nan,-nan
