gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,169.655585,1231,2211840,16,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.428863,15,0.376394,-nan,-nan,0.431315,-nan,-nan
0.429865,14,0.358426,-nan,-nan,0.431642,-nan,-nan
0.441239,15,0.359979,-nan,-nan,0.443619,-nan,-nan
0.428637,14,0.357405,-nan,-nan,0.429962,-nan,-nan
0.427829,15,0.361454,-nan,-nan,0.430196,-nan,-nan
0.423063,15,0.358725,-nan,-nan,0.425247,-nan,-nan
0.421481,15,0.361500,-nan,-nan,0.423569,-nan,-nan
0.414222,15,0.357109,-nan,-nan,0.414380,-nan,-nan
0.430527,16,0.360940,-nan,-nan,0.432912,-nan,-nan
0.410900,15,0.359092,-nan,-nan,0.413049,-nan,-nan
0.423290,15,0.361896,-nan,-nan,0.425695,-nan,-nan
0.446408,14,0.354495,-nan,-nan,0.446831,-nan,-nan
0.437057,15,0.362387,-nan,-nan,0.437356,-nan,-nan
0.426858,14,0.358744,-nan,-nan,0.427125,-nan,-nan
0.435275,15,0.361764,-nan,-nan,0.437720,-nan,-nan
0.441319,15,0.354110,-nan,-nan,0.443781,-nan,-nan
0.427814,15,0.361026,-nan,-nan,0.430107,-nan,-nan
0.431178,15,0.357077,-nan,-nan,0.433637,-nan,-nan
0.433677,15,0.355356,-nan,-nan,0.436201,-nan,-nan
0.432507,13,0.355742,-nan,-nan,0.434726,-nan,-nan
