gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,170.705380,1291,2211840,3,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.406606,14,0.349178,-nan,-nan,0.407363,-nan,-nan
0.403511,14,0.347630,-nan,-nan,0.404263,-nan,-nan
0.398548,12,0.350653,-nan,-nan,0.398627,-nan,-nan
0.397240,13,0.350361,-nan,-nan,0.397369,-nan,-nan
0.412211,13,0.349391,-nan,-nan,0.412291,-nan,-nan
0.410825,14,0.348115,-nan,-nan,0.411287,-nan,-nan
0.410639,14,0.347162,-nan,-nan,0.411160,-nan,-nan
0.408711,14,0.346495,-nan,-nan,0.409139,-nan,-nan
0.404826,14,0.346426,-nan,-nan,0.405258,-nan,-nan
0.406057,14,0.345803,-nan,-nan,0.406493,-nan,-nan
0.406395,14,0.346912,-nan,-nan,0.406825,-nan,-nan
0.409617,14,0.347729,-nan,-nan,0.409829,-nan,-nan
0.418804,14,0.347703,-nan,-nan,0.419121,-nan,-nan
0.410473,13,0.346468,-nan,-nan,0.410691,-nan,-nan
0.422062,14,0.347966,-nan,-nan,0.422597,-nan,-nan
0.423344,13,0.350056,-nan,-nan,0.423424,-nan,-nan
0.417461,14,0.348952,-nan,-nan,0.418226,-nan,-nan
0.406183,14,0.347592,-nan,-nan,0.406939,-nan,-nan
0.406025,14,0.346387,-nan,-nan,0.406760,-nan,-nan
0.394265,13,0.347270,-nan,-nan,0.395009,-nan,-nan
