gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,176.279848,910,884736,16,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.165216,14,0.147531,-nan,-nan,0.167377,-nan,-nan
0.177256,15,0.146408,-nan,-nan,0.179662,-nan,-nan
0.161130,13,0.147238,-nan,-nan,0.163198,-nan,-nan
0.160580,14,0.149286,-nan,-nan,0.162752,-nan,-nan
0.167954,14,0.147752,-nan,-nan,0.170242,-nan,-nan
0.167018,14,0.144369,-nan,-nan,0.169452,-nan,-nan
0.173275,15,0.145863,-nan,-nan,0.175553,-nan,-nan
0.173385,15,0.145226,-nan,-nan,0.174474,-nan,-nan
0.164514,14,0.147047,-nan,-nan,0.165673,-nan,-nan
0.168852,14,0.147090,-nan,-nan,0.170037,-nan,-nan
0.175472,15,0.142117,-nan,-nan,0.176610,-nan,-nan
0.169015,14,0.145667,-nan,-nan,0.170173,-nan,-nan
0.186112,13,0.143991,-nan,-nan,0.186266,-nan,-nan
0.172594,13,0.152364,-nan,-nan,0.172746,-nan,-nan
0.172815,14,0.143406,-nan,-nan,0.172965,-nan,-nan
0.176986,15,0.143759,-nan,-nan,0.177291,-nan,-nan
0.171074,14,0.150016,-nan,-nan,0.171322,-nan,-nan
0.177670,14,0.144510,-nan,-nan,0.177938,-nan,-nan
0.176147,12,0.145074,-nan,-nan,0.176331,-nan,-nan
0.178303,15,0.148177,-nan,-nan,0.179499,-nan,-nan
