gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,171.520128,1281,2211840,8,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.429475,14,0.351992,-nan,-nan,0.429603,-nan,-nan
0.410209,13,0.348561,-nan,-nan,0.410319,-nan,-nan
0.412711,14,0.349344,-nan,-nan,0.412808,-nan,-nan
0.406714,13,0.349972,-nan,-nan,0.406827,-nan,-nan
0.403373,14,0.350879,-nan,-nan,0.403514,-nan,-nan
0.407977,14,0.352756,-nan,-nan,0.408103,-nan,-nan
0.407450,14,0.348802,-nan,-nan,0.407548,-nan,-nan
0.398855,14,0.346407,-nan,-nan,0.398959,-nan,-nan
0.400668,14,0.347482,-nan,-nan,0.400766,-nan,-nan
0.399920,14,0.349525,-nan,-nan,0.400016,-nan,-nan
0.402959,14,0.349486,-nan,-nan,0.403059,-nan,-nan
0.419988,13,0.352267,-nan,-nan,0.420087,-nan,-nan
0.419174,14,0.348150,-nan,-nan,0.419292,-nan,-nan
0.431165,14,0.348280,-nan,-nan,0.431278,-nan,-nan
0.410849,14,0.351353,-nan,-nan,0.410973,-nan,-nan
0.403658,14,0.348457,-nan,-nan,0.403756,-nan,-nan
0.411393,14,0.347091,-nan,-nan,0.411511,-nan,-nan
0.403097,14,0.349643,-nan,-nan,0.403193,-nan,-nan
0.401415,14,0.352388,-nan,-nan,0.401515,-nan,-nan
0.400624,14,0.348366,-nan,-nan,0.401306,-nan,-nan
