gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,177.435983,815,663552,16,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.134399,14,0.111420,-nan,-nan,0.134535,-nan,-nan
0.130993,14,0.112032,-nan,-nan,0.131152,-nan,-nan
0.135826,14,0.109076,-nan,-nan,0.135984,-nan,-nan
0.130384,13,0.107747,-nan,-nan,0.130517,-nan,-nan
0.132162,14,0.108744,-nan,-nan,0.132293,-nan,-nan
0.133833,15,0.107270,-nan,-nan,0.133966,-nan,-nan
0.128549,14,0.107515,-nan,-nan,0.128681,-nan,-nan
0.133185,14,0.111080,-nan,-nan,0.133318,-nan,-nan
0.130757,14,0.107064,-nan,-nan,0.130890,-nan,-nan
0.130617,14,0.110480,-nan,-nan,0.130752,-nan,-nan
0.127710,13,0.107488,-nan,-nan,0.129367,-nan,-nan
0.128450,14,0.110495,-nan,-nan,0.128581,-nan,-nan
0.125348,14,0.107890,-nan,-nan,0.125467,-nan,-nan
0.124827,14,0.108520,-nan,-nan,0.124976,-nan,-nan
0.126688,14,0.108840,-nan,-nan,0.126842,-nan,-nan
0.124112,14,0.108531,-nan,-nan,0.124260,-nan,-nan
0.125067,14,0.112124,-nan,-nan,0.125187,-nan,-nan
0.123657,14,0.110604,-nan,-nan,0.123792,-nan,-nan
0.133940,14,0.106257,-nan,-nan,0.134071,-nan,-nan
0.133937,12,0.107635,-nan,-nan,0.134078,-nan,-nan
