gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,176.608406,1280,2211840,10,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.402886,14,0.351930,-nan,-nan,0.402991,-nan,-nan
0.452156,14,0.352862,-nan,-nan,0.452274,-nan,-nan
0.436843,14,0.350149,-nan,-nan,0.436967,-nan,-nan
0.417236,13,0.348713,-nan,-nan,0.417340,-nan,-nan
0.416808,14,0.350658,-nan,-nan,0.416940,-nan,-nan
0.424020,14,0.352763,-nan,-nan,0.424154,-nan,-nan
0.396815,13,0.349959,-nan,-nan,0.396915,-nan,-nan
0.420422,14,0.348314,-nan,-nan,0.420550,-nan,-nan
0.406576,14,0.347782,-nan,-nan,0.406689,-nan,-nan
0.411925,14,0.350550,-nan,-nan,0.412048,-nan,-nan
0.399001,14,0.349988,-nan,-nan,0.399117,-nan,-nan
0.447154,15,0.352043,-nan,-nan,0.447287,-nan,-nan
0.401283,13,0.350427,-nan,-nan,0.401389,-nan,-nan
0.412088,14,0.352794,-nan,-nan,0.412192,-nan,-nan
0.423123,13,0.351663,-nan,-nan,0.423247,-nan,-nan
0.412288,14,0.349197,-nan,-nan,0.412404,-nan,-nan
0.404241,14,0.354855,-nan,-nan,0.404466,-nan,-nan
0.422658,15,0.351684,-nan,-nan,0.422784,-nan,-nan
0.416115,15,0.348777,-nan,-nan,0.416244,-nan,-nan
0.408419,14,0.352349,-nan,-nan,0.408524,-nan,-nan
