gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,171.193313,1291,2211840,4,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.410831,14,0.348153,-nan,-nan,0.410928,-nan,-nan
0.414237,14,0.353084,-nan,-nan,0.414348,-nan,-nan
0.433858,13,0.348201,-nan,-nan,0.433966,-nan,-nan
0.422131,14,0.346744,-nan,-nan,0.422260,-nan,-nan
0.422072,13,0.345278,-nan,-nan,0.422160,-nan,-nan
0.420320,14,0.348302,-nan,-nan,0.420427,-nan,-nan
0.415990,14,0.346520,-nan,-nan,0.416080,-nan,-nan
0.413082,14,0.346940,-nan,-nan,0.413169,-nan,-nan
0.410403,14,0.348854,-nan,-nan,0.410616,-nan,-nan
0.410744,14,0.352261,-nan,-nan,0.411319,-nan,-nan
0.412696,14,0.349279,-nan,-nan,0.412785,-nan,-nan
0.425020,14,0.346112,-nan,-nan,0.425121,-nan,-nan
0.421523,13,0.346578,-nan,-nan,0.421607,-nan,-nan
0.410946,13,0.349682,-nan,-nan,0.411034,-nan,-nan
0.413805,14,0.347982,-nan,-nan,0.413902,-nan,-nan
0.415995,13,0.346381,-nan,-nan,0.416091,-nan,-nan
0.413148,14,0.348302,-nan,-nan,0.413239,-nan,-nan
0.410593,14,0.347988,-nan,-nan,0.410838,-nan,-nan
0.413418,14,0.344783,-nan,-nan,0.413997,-nan,-nan
0.416308,14,0.347928,-nan,-nan,0.416928,-nan,-nan
