gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,173.329270,1103,1548288,16,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.304843,15,0.253961,-nan,-nan,0.307101,-nan,-nan
0.295206,14,0.252242,-nan,-nan,0.297469,-nan,-nan
0.309512,15,0.255739,-nan,-nan,0.311902,-nan,-nan
0.308856,15,0.249242,-nan,-nan,0.311317,-nan,-nan
0.310240,14,0.252979,-nan,-nan,0.313018,-nan,-nan
0.309203,14,0.249981,-nan,-nan,0.309968,-nan,-nan
0.298569,14,0.250293,-nan,-nan,0.299951,-nan,-nan
0.304234,14,0.252898,-nan,-nan,0.305666,-nan,-nan
0.299864,13,0.250290,-nan,-nan,0.300491,-nan,-nan
0.296834,14,0.248064,-nan,-nan,0.299143,-nan,-nan
0.311576,15,0.250702,-nan,-nan,0.313837,-nan,-nan
0.311725,14,0.253679,-nan,-nan,0.314113,-nan,-nan
0.312976,13,0.250722,-nan,-nan,0.315435,-nan,-nan
0.312909,14,0.257466,-nan,-nan,0.315253,-nan,-nan
0.300673,14,0.251713,-nan,-nan,0.303081,-nan,-nan
0.310957,14,0.257681,-nan,-nan,0.313239,-nan,-nan
0.302503,14,0.252520,-nan,-nan,0.304802,-nan,-nan
0.307470,15,0.254805,-nan,-nan,0.309754,-nan,-nan
0.311406,15,0.253390,-nan,-nan,0.313786,-nan,-nan
0.306441,13,0.250154,-nan,-nan,0.307699,-nan,-nan
