gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,170.881325,1220,2211840,9,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.400943,15,0.350178,-nan,-nan,0.401049,-nan,-nan
0.424804,16,0.348306,-nan,-nan,0.424928,-nan,-nan
0.403139,15,0.348729,-nan,-nan,0.403242,-nan,-nan
0.396665,15,0.351217,-nan,-nan,0.396772,-nan,-nan
0.403006,15,0.350558,-nan,-nan,0.403132,-nan,-nan
0.424876,16,0.350476,-nan,-nan,0.425003,-nan,-nan
0.403052,15,0.349849,-nan,-nan,0.403156,-nan,-nan
0.427229,14,0.351836,-nan,-nan,0.427396,-nan,-nan
0.412497,16,0.349440,-nan,-nan,0.412626,-nan,-nan
0.406941,14,0.354280,-nan,-nan,0.407050,-nan,-nan
0.407041,16,0.349661,-nan,-nan,0.407158,-nan,-nan
0.406621,16,0.350342,-nan,-nan,0.406738,-nan,-nan
0.406226,16,0.349003,-nan,-nan,0.406360,-nan,-nan
0.406256,16,0.349654,-nan,-nan,0.406382,-nan,-nan
0.406391,16,0.348951,-nan,-nan,0.406527,-nan,-nan
0.417043,16,0.348914,-nan,-nan,0.417162,-nan,-nan
0.414026,16,0.349799,-nan,-nan,0.414143,-nan,-nan
0.416435,15,0.350419,-nan,-nan,0.416564,-nan,-nan
0.415361,15,0.349673,-nan,-nan,0.415489,-nan,-nan
0.446315,16,0.351044,-nan,-nan,0.446697,-nan,-nan
