elements,parallel,streambuf_size,types_idx,types_str
20,15,2211840,0,"hvec(2 1 18432)[hvec(2 1 12288)[hvec(2 1 6144)[vec(32 6 8)[ctg(18)[float]]]]]"

elapsed
0.062223
0.060274
0.060177
0.060055
0.061992
0.063195
0.060012
0.060217
0.060126
0.059952
0.059900
0.059999
0.059854
0.060033
0.060029
0.059984
0.060020
0.059977
0.060004
0.060028
