gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,176.079711,987,1105920,16,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.207473,13,0.180697,-nan,-nan,0.207611,-nan,-nan
0.219374,14,0.178358,-nan,-nan,0.219519,-nan,-nan
0.227803,14,0.180447,-nan,-nan,0.227952,-nan,-nan
0.224439,13,0.179570,-nan,-nan,0.224605,-nan,-nan
0.210532,12,0.178452,-nan,-nan,0.210679,-nan,-nan
0.222095,14,0.180068,-nan,-nan,0.222231,-nan,-nan
0.218361,14,0.178481,-nan,-nan,0.218497,-nan,-nan
0.207167,11,0.178056,-nan,-nan,0.207293,-nan,-nan
0.223262,14,0.179704,-nan,-nan,0.223436,-nan,-nan
0.209540,13,0.181116,-nan,-nan,0.209683,-nan,-nan
0.219124,14,0.176692,-nan,-nan,0.219269,-nan,-nan
0.221151,14,0.180221,-nan,-nan,0.221319,-nan,-nan
0.221409,14,0.177867,-nan,-nan,0.221548,-nan,-nan
0.219239,14,0.179717,-nan,-nan,0.219379,-nan,-nan
0.216047,14,0.181510,-nan,-nan,0.216179,-nan,-nan
0.218150,14,0.183232,-nan,-nan,0.218286,-nan,-nan
0.213980,14,0.179063,-nan,-nan,0.214110,-nan,-nan
0.215812,14,0.181958,-nan,-nan,0.215954,-nan,-nan
0.219279,14,0.178780,-nan,-nan,0.219433,-nan,-nan
0.230640,10,0.181578,-nan,-nan,0.230787,-nan,-nan
