gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,172.033639,700,442368,16,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.092722,14,0.075888,-nan,-nan,0.092861,-nan,-nan
0.087653,14,0.074251,-nan,-nan,0.087796,-nan,-nan
0.084928,14,0.074708,-nan,-nan,0.085051,-nan,-nan
0.086484,14,0.071776,-nan,-nan,0.086649,-nan,-nan
0.089210,15,0.071927,-nan,-nan,0.089348,-nan,-nan
0.087858,15,0.071772,-nan,-nan,0.087999,-nan,-nan
0.084051,14,0.072136,-nan,-nan,0.084188,-nan,-nan
0.092325,14,0.071975,-nan,-nan,0.092464,-nan,-nan
0.098463,11,0.072958,-nan,-nan,0.098586,-nan,-nan
0.088402,13,0.072357,-nan,-nan,0.088521,-nan,-nan
0.086143,14,0.075084,-nan,-nan,0.086294,-nan,-nan
0.086681,14,0.071856,-nan,-nan,0.086817,-nan,-nan
0.086631,14,0.073400,-nan,-nan,0.086766,-nan,-nan
0.092360,15,0.072248,-nan,-nan,0.092500,-nan,-nan
0.088563,13,0.072689,-nan,-nan,0.088699,-nan,-nan
0.091835,14,0.071497,-nan,-nan,0.091965,-nan,-nan
0.084514,13,0.073018,-nan,-nan,0.084629,-nan,-nan
0.090125,14,0.074200,-nan,-nan,0.090300,-nan,-nan
0.093242,11,0.072542,-nan,-nan,0.093362,-nan,-nan
0.094426,11,0.071974,-nan,-nan,0.094544,-nan,-nan
