elements,parallel,streambuf_size,types_idx,types_str
20,7,2211840,0,"hvec(2 1 18432)[hvec(2 1 12288)[hvec(2 1 6144)[vec(32 6 8)[ctg(18)[float]]]]]"

elapsed
0.030347
0.029699
0.029854
0.030027
0.029934
0.029872
0.029781
0.029899
0.029787
0.029839
0.030028
0.030031
0.029932
0.029878
0.029934
0.029939
0.029843
0.029828
0.029795
0.029921
