gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,176.162701,1275,2211840,16,0

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.438474,14,0.377699,-nan,-nan,0.438935,-nan,-nan
0.430640,14,0.358677,-nan,-nan,0.432985,-nan,-nan
0.420605,13,0.361845,-nan,-nan,0.423083,-nan,-nan
0.421086,14,0.359040,-nan,-nan,0.423426,-nan,-nan
0.445579,13,0.360139,-nan,-nan,0.446870,-nan,-nan
0.433905,14,0.358506,-nan,-nan,0.436221,-nan,-nan
0.444439,13,0.362737,-nan,-nan,0.445760,-nan,-nan
0.455872,14,0.361680,-nan,-nan,0.457229,-nan,-nan
0.428711,14,0.354118,-nan,-nan,0.430066,-nan,-nan
0.426709,14,0.355024,-nan,-nan,0.428065,-nan,-nan
0.424729,13,0.354387,-nan,-nan,0.426073,-nan,-nan
0.429906,14,0.354791,-nan,-nan,0.431228,-nan,-nan
0.429917,13,0.356755,-nan,-nan,0.431253,-nan,-nan
0.433522,14,0.357805,-nan,-nan,0.434883,-nan,-nan
0.451574,14,0.360911,-nan,-nan,0.451884,-nan,-nan
0.438743,15,0.358620,-nan,-nan,0.440181,-nan,-nan
0.426792,13,0.355468,-nan,-nan,0.427202,-nan,-nan
0.438472,15,0.360873,-nan,-nan,0.440876,-nan,-nan
0.432769,14,0.361397,-nan,-nan,0.434621,-nan,-nan
0.415586,14,0.355989,-nan,-nan,0.418008,-nan,-nan
