elements,parallel,streambuf_size,types_idx,types_str
12,16,1327104,1,"ctg(27648)[float]"

elapsed
0.029293
0.022031
0.022767
0.022379
0.022637
0.022442
0.022433
0.022372
0.022264
0.022435
0.022423
0.022165
0.022676
0.022581
0.022570
0.022640
0.022617
0.022600
0.022601
0.022597
