gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,177.047516,1055,2211840,12,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.290012,15,0.263545,-nan,-nan,0.291712,-nan,-nan
0.295972,11,0.247835,-nan,-nan,0.297812,-nan,-nan
0.283033,14,0.247581,-nan,-nan,0.284864,-nan,-nan
0.275478,14,0.244702,-nan,-nan,0.277119,-nan,-nan
0.282286,14,0.245404,-nan,-nan,0.283867,-nan,-nan
0.286499,15,0.245707,-nan,-nan,0.286737,-nan,-nan
0.298956,15,0.245221,-nan,-nan,0.300014,-nan,-nan
0.291036,13,0.246514,-nan,-nan,0.291244,-nan,-nan
0.285310,13,0.245006,-nan,-nan,0.286923,-nan,-nan
0.275228,13,0.245571,-nan,-nan,0.275606,-nan,-nan
0.275051,12,0.245278,-nan,-nan,0.275196,-nan,-nan
0.281546,15,0.245167,-nan,-nan,0.281737,-nan,-nan
0.276576,15,0.246100,-nan,-nan,0.278188,-nan,-nan
0.274050,15,0.245277,-nan,-nan,0.275639,-nan,-nan
0.275968,14,0.244597,-nan,-nan,0.277579,-nan,-nan
0.282485,15,0.246236,-nan,-nan,0.284071,-nan,-nan
0.293292,11,0.245093,-nan,-nan,0.294899,-nan,-nan
0.288938,14,0.245672,-nan,-nan,0.290539,-nan,-nan
0.278912,14,0.245393,-nan,-nan,0.280504,-nan,-nan
0.275947,15,0.245618,-nan,-nan,0.277552,-nan,-nan
