elements,parallel,streambuf_size,types_idx,types_str
20,16,2211840,1,"ctg(27648)[float]"

elapsed
0.029541
0.030631
0.030694
0.030657
0.030545
0.030434
0.030578
0.030604
0.030756
0.030722
0.030609
0.030749
0.030562
0.030677
0.030782
0.030573
0.030460
0.030518
0.030450
0.030625
