gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,176.078674,1040,2211840,16,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.293294,13,0.252191,-nan,-nan,0.295476,-nan,-nan
0.281877,15,0.245262,-nan,-nan,0.283938,-nan,-nan
0.275752,14,0.245449,-nan,-nan,0.278047,-nan,-nan
0.279510,12,0.245571,-nan,-nan,0.279954,-nan,-nan
0.284607,14,0.245744,-nan,-nan,0.286623,-nan,-nan
0.275768,13,0.245515,-nan,-nan,0.277877,-nan,-nan
0.283959,12,0.245642,-nan,-nan,0.284451,-nan,-nan
0.292887,13,0.245399,-nan,-nan,0.295163,-nan,-nan
0.277407,11,0.251344,-nan,-nan,0.279388,-nan,-nan
0.289014,13,0.245475,-nan,-nan,0.291191,-nan,-nan
0.291596,15,0.244621,-nan,-nan,0.293758,-nan,-nan
0.282914,15,0.244800,-nan,-nan,0.284918,-nan,-nan
0.284537,13,0.245493,-nan,-nan,0.286529,-nan,-nan
0.277468,14,0.245514,-nan,-nan,0.279467,-nan,-nan
0.283993,15,0.245308,-nan,-nan,0.285967,-nan,-nan
0.282053,14,0.249640,-nan,-nan,0.284035,-nan,-nan
0.290015,15,0.247222,-nan,-nan,0.292253,-nan,-nan
0.280154,12,0.245870,-nan,-nan,0.282233,-nan,-nan
0.276147,12,0.245278,-nan,-nan,0.277031,-nan,-nan
0.293617,16,0.245304,-nan,-nan,0.295940,-nan,-nan
