gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,176.878553,1080,2211840,9,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.272365,14,0.245622,-nan,-nan,0.272461,-nan,-nan
0.285800,14,0.244952,-nan,-nan,0.285912,-nan,-nan
0.285433,15,0.244967,-nan,-nan,0.285554,-nan,-nan
0.284509,15,0.246257,-nan,-nan,0.284612,-nan,-nan
0.281759,15,0.243701,-nan,-nan,0.281864,-nan,-nan
0.288168,14,0.245377,-nan,-nan,0.288275,-nan,-nan
0.292592,14,0.244226,-nan,-nan,0.292684,-nan,-nan
0.285116,15,0.243959,-nan,-nan,0.285217,-nan,-nan
0.278964,15,0.245717,-nan,-nan,0.279065,-nan,-nan
0.286301,13,0.245458,-nan,-nan,0.286400,-nan,-nan
0.280727,15,0.245153,-nan,-nan,0.280842,-nan,-nan
0.283013,15,0.244992,-nan,-nan,0.283121,-nan,-nan
0.273280,14,0.245166,-nan,-nan,0.273379,-nan,-nan
0.274911,13,0.245234,-nan,-nan,0.275009,-nan,-nan
0.288481,15,0.245042,-nan,-nan,0.288603,-nan,-nan
0.279615,15,0.245356,-nan,-nan,0.279719,-nan,-nan
0.281242,15,0.244046,-nan,-nan,0.281347,-nan,-nan
0.279102,15,0.244524,-nan,-nan,0.279207,-nan,-nan
0.281376,15,0.245223,-nan,-nan,0.281490,-nan,-nan
0.281173,15,0.244461,-nan,-nan,0.281284,-nan,-nan
