gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,176.052546,821,1105920,16,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.140904,14,0.123332,-nan,-nan,0.143039,-nan,-nan
0.138252,14,0.122736,-nan,-nan,0.140385,-nan,-nan
0.138542,15,0.122113,-nan,-nan,0.140694,-nan,-nan
0.137452,14,0.122737,-nan,-nan,0.139616,-nan,-nan
0.138908,14,0.122901,-nan,-nan,0.141035,-nan,-nan
0.142986,12,0.122460,-nan,-nan,0.145120,-nan,-nan
0.166935,13,0.122650,-nan,-nan,0.169435,-nan,-nan
0.144024,14,0.122351,-nan,-nan,0.146386,-nan,-nan
0.143853,14,0.122527,-nan,-nan,0.146029,-nan,-nan
0.147139,12,0.122347,-nan,-nan,0.149278,-nan,-nan
0.145029,12,0.123176,-nan,-nan,0.147164,-nan,-nan
0.146277,14,0.122345,-nan,-nan,0.148446,-nan,-nan
0.141532,14,0.122424,-nan,-nan,0.143687,-nan,-nan
0.138192,14,0.122818,-nan,-nan,0.140245,-nan,-nan
0.147297,12,0.122267,-nan,-nan,0.147418,-nan,-nan
0.145381,12,0.122337,-nan,-nan,0.145502,-nan,-nan
0.144103,13,0.131211,-nan,-nan,0.144531,-nan,-nan
0.142530,14,0.123139,-nan,-nan,0.142985,-nan,-nan
0.140177,13,0.122314,-nan,-nan,0.140595,-nan,-nan
0.139862,14,0.122460,-nan,-nan,0.140173,-nan,-nan
