gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,176.115841,1100,2211840,7,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.272972,14,0.246621,-nan,-nan,0.273581,-nan,-nan
0.292910,14,0.245011,-nan,-nan,0.294042,-nan,-nan
0.277034,13,0.244446,-nan,-nan,0.277673,-nan,-nan
0.273609,14,0.243807,-nan,-nan,0.274230,-nan,-nan
0.275454,14,0.245558,-nan,-nan,0.276083,-nan,-nan
0.272686,12,0.244217,-nan,-nan,0.273904,-nan,-nan
0.270916,14,0.245730,-nan,-nan,0.271068,-nan,-nan
0.277163,14,0.244276,-nan,-nan,0.277321,-nan,-nan
0.272638,14,0.244890,-nan,-nan,0.273270,-nan,-nan
0.276296,14,0.245294,-nan,-nan,0.276800,-nan,-nan
0.290134,12,0.245297,-nan,-nan,0.290227,-nan,-nan
0.264275,13,0.243471,-nan,-nan,0.264368,-nan,-nan
0.265516,13,0.245469,-nan,-nan,0.265608,-nan,-nan
0.268405,13,0.245336,-nan,-nan,0.268498,-nan,-nan
0.278876,13,0.244713,-nan,-nan,0.278964,-nan,-nan
0.279794,14,0.244666,-nan,-nan,0.279890,-nan,-nan
0.283438,13,0.244302,-nan,-nan,0.283549,-nan,-nan
0.277546,12,0.244908,-nan,-nan,0.277646,-nan,-nan
0.272483,14,0.245097,-nan,-nan,0.272596,-nan,-nan
0.265881,14,0.243869,-nan,-nan,0.266015,-nan,-nan
