gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,176.569395,1100,2211840,8,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.270151,13,0.245277,-nan,-nan,0.270994,-nan,-nan
0.278786,13,0.244533,-nan,-nan,0.279149,-nan,-nan
0.271668,14,0.243784,-nan,-nan,0.272349,-nan,-nan
0.275853,14,0.245242,-nan,-nan,0.276540,-nan,-nan
0.292546,13,0.244115,-nan,-nan,0.292735,-nan,-nan
0.288411,14,0.245132,-nan,-nan,0.289151,-nan,-nan
0.273022,13,0.243603,-nan,-nan,0.273803,-nan,-nan
0.283704,14,0.245424,-nan,-nan,0.284551,-nan,-nan
0.274680,13,0.244118,-nan,-nan,0.275463,-nan,-nan
0.280884,13,0.245078,-nan,-nan,0.281661,-nan,-nan
0.271766,14,0.244691,-nan,-nan,0.271949,-nan,-nan
0.277014,14,0.244954,-nan,-nan,0.277190,-nan,-nan
0.272709,14,0.245354,-nan,-nan,0.273484,-nan,-nan
0.283817,14,0.245122,-nan,-nan,0.284079,-nan,-nan
0.280667,14,0.245104,-nan,-nan,0.280838,-nan,-nan
0.273140,14,0.244466,-nan,-nan,0.273922,-nan,-nan
0.293269,13,0.244547,-nan,-nan,0.294724,-nan,-nan
0.279734,14,0.245001,-nan,-nan,0.280541,-nan,-nan
0.282056,14,0.244595,-nan,-nan,0.282856,-nan,-nan
0.272872,13,0.244470,-nan,-nan,0.273010,-nan,-nan
