gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,173.757234,955,1990656,16,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.259861,13,0.220171,-nan,-nan,0.260184,-nan,-nan
0.252492,15,0.220059,-nan,-nan,0.252640,-nan,-nan
0.250754,15,0.219752,-nan,-nan,0.250886,-nan,-nan
0.267304,16,0.219798,-nan,-nan,0.267464,-nan,-nan
0.262953,13,0.219503,-nan,-nan,0.263086,-nan,-nan
0.267727,14,0.219824,-nan,-nan,0.267876,-nan,-nan
0.244827,12,0.219372,-nan,-nan,0.244961,-nan,-nan
0.242394,14,0.219621,-nan,-nan,0.242529,-nan,-nan
0.254241,13,0.220671,-nan,-nan,0.254373,-nan,-nan
0.250215,16,0.219671,-nan,-nan,0.250341,-nan,-nan
0.243510,15,0.219210,-nan,-nan,0.243634,-nan,-nan
0.252250,17,0.219646,-nan,-nan,0.252420,-nan,-nan
0.256424,17,0.225159,-nan,-nan,0.256617,-nan,-nan
0.245956,15,0.219628,-nan,-nan,0.246090,-nan,-nan
0.237531,14,0.222841,-nan,-nan,0.237673,-nan,-nan
0.246372,16,0.220276,-nan,-nan,0.246507,-nan,-nan
0.265874,14,0.219690,-nan,-nan,0.266005,-nan,-nan
0.244408,15,0.221027,-nan,-nan,0.244536,-nan,-nan
0.248821,17,0.221648,-nan,-nan,0.248959,-nan,-nan
0.251072,15,0.219534,-nan,-nan,0.251312,-nan,-nan
