gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,175.864412,670,663552,16,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.083270,15,0.075232,-nan,-nan,0.084524,-nan,-nan
0.086789,15,0.074815,-nan,-nan,0.088056,-nan,-nan
0.084598,15,0.073446,-nan,-nan,0.085866,-nan,-nan
0.086502,11,0.073574,-nan,-nan,0.086882,-nan,-nan
0.083993,12,0.077973,-nan,-nan,0.084327,-nan,-nan
0.084013,13,0.074286,-nan,-nan,0.084383,-nan,-nan
0.085633,15,0.073870,-nan,-nan,0.085893,-nan,-nan
0.084089,15,0.073782,-nan,-nan,0.084222,-nan,-nan
0.084253,14,0.073337,-nan,-nan,0.084666,-nan,-nan
0.086960,15,0.073748,-nan,-nan,0.087444,-nan,-nan
0.085299,15,0.073620,-nan,-nan,0.085776,-nan,-nan
0.086519,15,0.073956,-nan,-nan,0.086869,-nan,-nan
0.087706,15,0.073506,-nan,-nan,0.088137,-nan,-nan
0.087059,14,0.073538,-nan,-nan,0.087486,-nan,-nan
0.093909,11,0.075304,-nan,-nan,0.094035,-nan,-nan
0.088425,12,0.073306,-nan,-nan,0.088851,-nan,-nan
0.090731,13,0.073753,-nan,-nan,0.092870,-nan,-nan
0.089573,15,0.073526,-nan,-nan,0.091878,-nan,-nan
0.090919,14,0.073466,-nan,-nan,0.093118,-nan,-nan
0.082813,13,0.073522,-nan,-nan,0.084913,-nan,-nan
