gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,174.738003,580,442368,16,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.065467,15,0.049190,-nan,-nan,0.065716,-nan,-nan
0.058403,15,0.050068,-nan,-nan,0.058643,-nan,-nan
0.059966,16,0.049456,-nan,-nan,0.060202,-nan,-nan
0.056797,15,0.049404,-nan,-nan,0.057033,-nan,-nan
0.058038,16,0.049221,-nan,-nan,0.058275,-nan,-nan
0.057744,16,0.049045,-nan,-nan,0.057980,-nan,-nan
0.059406,16,0.053471,-nan,-nan,0.059641,-nan,-nan
0.062717,11,0.049654,-nan,-nan,0.064685,-nan,-nan
0.063412,10,0.049657,-nan,-nan,0.064516,-nan,-nan
0.060092,13,0.049988,-nan,-nan,0.060316,-nan,-nan
0.058713,13,0.049503,-nan,-nan,0.058930,-nan,-nan
0.059889,16,0.049105,-nan,-nan,0.060985,-nan,-nan
0.060346,15,0.048919,-nan,-nan,0.061453,-nan,-nan
0.063598,16,0.049309,-nan,-nan,0.064762,-nan,-nan
0.056366,12,0.049316,-nan,-nan,0.057463,-nan,-nan
0.061144,11,0.048963,-nan,-nan,0.062245,-nan,-nan
0.063805,13,0.049129,-nan,-nan,0.064915,-nan,-nan
0.060466,12,0.049000,-nan,-nan,0.061540,-nan,-nan
0.061516,14,0.049627,-nan,-nan,0.062611,-nan,-nan
0.059918,15,0.049291,-nan,-nan,0.061062,-nan,-nan
