gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,174.636937,929,1548288,16,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.189933,13,0.173657,-nan,-nan,0.190058,-nan,-nan
0.206644,14,0.170592,-nan,-nan,0.206787,-nan,-nan
0.210536,15,0.171903,-nan,-nan,0.210708,-nan,-nan
0.201638,15,0.171590,-nan,-nan,0.201793,-nan,-nan
0.201460,15,0.170497,-nan,-nan,0.201612,-nan,-nan
0.192682,14,0.172087,-nan,-nan,0.192835,-nan,-nan
0.194684,14,0.171062,-nan,-nan,0.194818,-nan,-nan
0.192600,13,0.170994,-nan,-nan,0.192734,-nan,-nan
0.200132,14,0.170919,-nan,-nan,0.200262,-nan,-nan
0.207493,15,0.171353,-nan,-nan,0.207679,-nan,-nan
0.190466,13,0.170575,-nan,-nan,0.190591,-nan,-nan
0.199848,12,0.170959,-nan,-nan,0.199974,-nan,-nan
0.198984,13,0.171329,-nan,-nan,0.199116,-nan,-nan
0.191480,14,0.174537,-nan,-nan,0.191613,-nan,-nan
0.200510,14,0.171509,-nan,-nan,0.200660,-nan,-nan
0.198039,14,0.171377,-nan,-nan,0.198170,-nan,-nan
0.195196,10,0.170618,-nan,-nan,0.195320,-nan,-nan
0.193452,14,0.170834,-nan,-nan,0.193588,-nan,-nan
0.190308,13,0.170914,-nan,-nan,0.190433,-nan,-nan
0.189897,14,0.170612,-nan,-nan,0.190029,-nan,-nan
