gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,173.504675,1068,2211840,16,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.290839,15,0.246956,-nan,-nan,0.292923,-nan,-nan
0.290639,15,0.246497,-nan,-nan,0.292820,-nan,-nan
0.289962,15,0.246333,-nan,-nan,0.292126,-nan,-nan
0.303505,14,0.246171,-nan,-nan,0.303939,-nan,-nan
0.279990,14,0.246766,-nan,-nan,0.281966,-nan,-nan
0.272679,13,0.245077,-nan,-nan,0.274621,-nan,-nan
0.284184,14,0.245615,-nan,-nan,0.286254,-nan,-nan
0.289421,12,0.245384,-nan,-nan,0.290518,-nan,-nan
0.301178,13,0.245199,-nan,-nan,0.303194,-nan,-nan
0.324421,12,0.245373,-nan,-nan,0.327088,-nan,-nan
0.304653,11,0.246407,-nan,-nan,0.306958,-nan,-nan
0.324317,12,0.245547,-nan,-nan,0.326760,-nan,-nan
0.332161,12,0.245401,-nan,-nan,0.332631,-nan,-nan
0.306494,11,0.245814,-nan,-nan,0.308772,-nan,-nan
0.315207,11,0.245113,-nan,-nan,0.317476,-nan,-nan
0.320910,11,0.246294,-nan,-nan,0.323213,-nan,-nan
0.311836,11,0.245274,-nan,-nan,0.314103,-nan,-nan
0.315874,11,0.245868,-nan,-nan,0.316122,-nan,-nan
0.315483,11,0.245950,-nan,-nan,0.315756,-nan,-nan
0.304177,11,0.244711,-nan,-nan,0.305393,-nan,-nan
