elements,parallel,streambuf_size,types_idx,types_str
16,16,1769472,1,"ctg(27648)[float]"

elapsed
0.029481
0.027412
0.027605
0.027550
0.027570
0.027568
0.027414
0.027595
0.027703
0.027480
0.027575
0.027553
0.027572
0.027586
0.031724
0.032048
0.036255
0.027611
0.027922
0.028358
