gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,172.335878,1110,2211840,6,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.282786,14,0.252509,-nan,-nan,0.283841,-nan,-nan
0.274643,13,0.246136,-nan,-nan,0.275200,-nan,-nan
0.293494,14,0.244303,-nan,-nan,0.293875,-nan,-nan
0.271465,13,0.243492,-nan,-nan,0.272534,-nan,-nan
0.271406,14,0.245010,-nan,-nan,0.272481,-nan,-nan
0.279830,14,0.245319,-nan,-nan,0.280400,-nan,-nan
0.274817,12,0.243371,-nan,-nan,0.274955,-nan,-nan
0.273493,13,0.243156,-nan,-nan,0.273625,-nan,-nan
0.279290,14,0.244376,-nan,-nan,0.279415,-nan,-nan
0.278448,14,0.242406,-nan,-nan,0.278595,-nan,-nan
0.280753,14,0.244526,-nan,-nan,0.280890,-nan,-nan
0.273796,14,0.245391,-nan,-nan,0.273924,-nan,-nan
0.275789,14,0.245574,-nan,-nan,0.275928,-nan,-nan
0.283997,14,0.244424,-nan,-nan,0.284117,-nan,-nan
0.286479,14,0.244653,-nan,-nan,0.286631,-nan,-nan
0.277456,14,0.244562,-nan,-nan,0.277594,-nan,-nan
0.277125,14,0.242106,-nan,-nan,0.278214,-nan,-nan
0.288409,14,0.244004,-nan,-nan,0.289599,-nan,-nan
0.276918,12,0.244077,-nan,-nan,0.277063,-nan,-nan
0.288700,14,0.244416,-nan,-nan,0.288845,-nan,-nan
