gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,172.980398,1131,2211840,1,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.290060,14,0.261092,-nan,-nan,0.290377,-nan,-nan
0.289744,14,0.240780,-nan,-nan,0.290019,-nan,-nan
0.295956,11,0.243162,-nan,-nan,0.296248,-nan,-nan
0.319830,14,0.240550,-nan,-nan,0.320157,-nan,-nan
0.294346,12,0.240677,-nan,-nan,0.294655,-nan,-nan
0.314654,13,0.240590,-nan,-nan,0.314744,-nan,-nan
0.318287,10,0.240663,-nan,-nan,0.318824,-nan,-nan
0.293941,8,0.240198,-nan,-nan,0.294244,-nan,-nan
0.289965,10,0.240633,-nan,-nan,0.290303,-nan,-nan
0.285363,14,0.239949,-nan,-nan,0.285692,-nan,-nan
0.287132,14,0.240222,-nan,-nan,0.287457,-nan,-nan
0.287249,14,0.239107,-nan,-nan,0.287528,-nan,-nan
0.286575,14,0.240636,-nan,-nan,0.286886,-nan,-nan
0.287603,14,0.240510,-nan,-nan,0.287917,-nan,-nan
0.286803,14,0.240556,-nan,-nan,0.286874,-nan,-nan
0.307295,14,0.241501,-nan,-nan,0.307380,-nan,-nan
0.280518,14,0.240298,-nan,-nan,0.280835,-nan,-nan
0.281048,14,0.240373,-nan,-nan,0.281329,-nan,-nan
0.282136,14,0.240608,-nan,-nan,0.282455,-nan,-nan
0.284009,14,0.241803,-nan,-nan,0.284347,-nan,-nan
