gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,176.292400,1060,2211840,14,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.277444,14,0.246569,-nan,-nan,0.279303,-nan,-nan
0.277706,14,0.245127,-nan,-nan,0.279496,-nan,-nan
0.276880,13,0.245345,-nan,-nan,0.278683,-nan,-nan
0.292372,13,0.245412,-nan,-nan,0.294564,-nan,-nan
0.286570,12,0.245492,-nan,-nan,0.288392,-nan,-nan
0.299577,13,0.246042,-nan,-nan,0.301588,-nan,-nan
0.297047,15,0.245577,-nan,-nan,0.298985,-nan,-nan
0.273170,13,0.245096,-nan,-nan,0.275031,-nan,-nan
0.277461,14,0.245561,-nan,-nan,0.279267,-nan,-nan
0.280668,13,0.245705,-nan,-nan,0.282476,-nan,-nan
0.272203,13,0.245526,-nan,-nan,0.273981,-nan,-nan
0.290805,14,0.245794,-nan,-nan,0.292939,-nan,-nan
0.289578,13,0.245329,-nan,-nan,0.291528,-nan,-nan
0.287200,15,0.244931,-nan,-nan,0.289172,-nan,-nan
0.305503,14,0.245796,-nan,-nan,0.307542,-nan,-nan
0.283304,13,0.245383,-nan,-nan,0.283717,-nan,-nan
0.273000,14,0.244813,-nan,-nan,0.274782,-nan,-nan
0.312009,13,0.245529,-nan,-nan,0.313896,-nan,-nan
0.286831,13,0.247812,-nan,-nan,0.289211,-nan,-nan
0.278232,14,0.245300,-nan,-nan,0.280072,-nan,-nan
