gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,177.672217,960,1769472,16,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.222384,15,0.199536,-nan,-nan,0.222529,-nan,-nan
0.216085,15,0.195209,-nan,-nan,0.216211,-nan,-nan
0.212882,15,0.195162,-nan,-nan,0.213007,-nan,-nan
0.217387,15,0.195511,-nan,-nan,0.217506,-nan,-nan
0.217948,16,0.195149,-nan,-nan,0.218078,-nan,-nan
0.224935,16,0.197867,-nan,-nan,0.225077,-nan,-nan
0.212464,15,0.194880,-nan,-nan,0.212603,-nan,-nan
0.235765,17,0.195126,-nan,-nan,0.235913,-nan,-nan
0.218635,13,0.195204,-nan,-nan,0.218771,-nan,-nan
0.222063,15,0.196034,-nan,-nan,0.222194,-nan,-nan
0.226257,15,0.195686,-nan,-nan,0.226425,-nan,-nan
0.237747,16,0.195264,-nan,-nan,0.237926,-nan,-nan
0.244213,14,0.195169,-nan,-nan,0.244373,-nan,-nan
0.220647,15,0.195334,-nan,-nan,0.220781,-nan,-nan
0.225730,15,0.195407,-nan,-nan,0.225876,-nan,-nan
0.230453,15,0.195740,-nan,-nan,0.230591,-nan,-nan
0.221657,14,0.195872,-nan,-nan,0.221784,-nan,-nan
0.226895,15,0.195212,-nan,-nan,0.227076,-nan,-nan
0.217637,13,0.195573,-nan,-nan,0.217783,-nan,-nan
0.225207,16,0.194978,-nan,-nan,0.225357,-nan,-nan
