gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,178.202005,1120,2211840,3,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.285119,14,0.245130,-nan,-nan,0.285233,-nan,-nan
0.278244,13,0.246357,-nan,-nan,0.279052,-nan,-nan
0.273848,14,0.245200,-nan,-nan,0.274643,-nan,-nan
0.272676,14,0.243487,-nan,-nan,0.273463,-nan,-nan
0.285374,14,0.241767,-nan,-nan,0.286295,-nan,-nan
0.273844,14,0.242897,-nan,-nan,0.274693,-nan,-nan
0.279790,13,0.244484,-nan,-nan,0.280141,-nan,-nan
0.275278,14,0.242996,-nan,-nan,0.275361,-nan,-nan
0.280670,14,0.245980,-nan,-nan,0.280763,-nan,-nan
0.273311,12,0.244543,-nan,-nan,0.273396,-nan,-nan
0.280918,14,0.246135,-nan,-nan,0.281004,-nan,-nan
0.274946,14,0.245242,-nan,-nan,0.275030,-nan,-nan
0.277972,14,0.245281,-nan,-nan,0.278768,-nan,-nan
0.271259,13,0.244087,-nan,-nan,0.271339,-nan,-nan
0.283529,14,0.245948,-nan,-nan,0.283612,-nan,-nan
0.277262,14,0.245003,-nan,-nan,0.277344,-nan,-nan
0.273483,14,0.244510,-nan,-nan,0.273802,-nan,-nan
0.272863,14,0.241116,-nan,-nan,0.273626,-nan,-nan
0.272281,14,0.241409,-nan,-nan,0.273099,-nan,-nan
0.272217,14,0.248294,-nan,-nan,0.273013,-nan,-nan
