gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,171.941865,1110,2211840,4,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.283751,14,0.244596,-nan,-nan,0.284278,-nan,-nan
0.277651,14,0.244207,-nan,-nan,0.278040,-nan,-nan
0.279116,14,0.243963,-nan,-nan,0.279574,-nan,-nan
0.291549,13,0.242140,-nan,-nan,0.291967,-nan,-nan
0.283416,14,0.245075,-nan,-nan,0.283873,-nan,-nan
0.278221,14,0.244036,-nan,-nan,0.278676,-nan,-nan
0.292806,14,0.244491,-nan,-nan,0.293728,-nan,-nan
0.295663,13,0.245750,-nan,-nan,0.295783,-nan,-nan
0.282844,13,0.245625,-nan,-nan,0.283306,-nan,-nan
0.272874,13,0.244712,-nan,-nan,0.273324,-nan,-nan
0.280983,14,0.244483,-nan,-nan,0.281436,-nan,-nan
0.270916,12,0.242866,-nan,-nan,0.271352,-nan,-nan
0.286735,14,0.242556,-nan,-nan,0.287185,-nan,-nan
0.276356,14,0.241478,-nan,-nan,0.276786,-nan,-nan
0.276287,14,0.243731,-nan,-nan,0.276736,-nan,-nan
0.280814,14,0.242493,-nan,-nan,0.281267,-nan,-nan
0.277115,14,0.243116,-nan,-nan,0.277565,-nan,-nan
0.284931,15,0.242741,-nan,-nan,0.285451,-nan,-nan
0.287466,13,0.244333,-nan,-nan,0.288403,-nan,-nan
0.279876,14,0.242719,-nan,-nan,0.280360,-nan,-nan
