gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,171.878560,1090,2211840,10,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.283670,14,0.248221,-nan,-nan,0.283782,-nan,-nan
0.272885,14,0.245193,-nan,-nan,0.272994,-nan,-nan
0.271920,14,0.244785,-nan,-nan,0.272034,-nan,-nan
0.288460,14,0.244566,-nan,-nan,0.288565,-nan,-nan
0.284837,14,0.244451,-nan,-nan,0.284954,-nan,-nan
0.286517,14,0.245335,-nan,-nan,0.286648,-nan,-nan
0.277648,14,0.245258,-nan,-nan,0.277763,-nan,-nan
0.284373,13,0.245205,-nan,-nan,0.285058,-nan,-nan
0.275973,12,0.245253,-nan,-nan,0.276395,-nan,-nan
0.289107,14,0.244754,-nan,-nan,0.289914,-nan,-nan
0.285705,14,0.245293,-nan,-nan,0.286508,-nan,-nan
0.271967,14,0.245308,-nan,-nan,0.272738,-nan,-nan
0.273804,13,0.244652,-nan,-nan,0.274597,-nan,-nan
0.277577,14,0.244754,-nan,-nan,0.278371,-nan,-nan
0.282106,13,0.244994,-nan,-nan,0.282880,-nan,-nan
0.281786,14,0.245079,-nan,-nan,0.282583,-nan,-nan
0.283478,14,0.245142,-nan,-nan,0.284298,-nan,-nan
0.278197,14,0.244706,-nan,-nan,0.278981,-nan,-nan
0.272916,13,0.245216,-nan,-nan,0.273714,-nan,-nan
0.288292,13,0.245400,-nan,-nan,0.289240,-nan,-nan
