gflops_theo,gflops_ref,dim,streambuf_size,par,types_idx
217.600000,176.221760,1098,2211840,5,1

dgemm,iters,dt_ref_rtt,dt_ref_pkt,dt_ref_msg,dt_rtt,dt_pkt,dt_msg
0.275359,13,0.250872,-nan,-nan,0.276388,-nan,-nan
0.279675,14,0.244641,-nan,-nan,0.279789,-nan,-nan
0.278790,14,0.245450,-nan,-nan,0.278905,-nan,-nan
0.275067,14,0.244664,-nan,-nan,0.275199,-nan,-nan
0.289309,13,0.244966,-nan,-nan,0.290484,-nan,-nan
0.277348,13,0.244293,-nan,-nan,0.278375,-nan,-nan
0.280554,14,0.243903,-nan,-nan,0.281587,-nan,-nan
0.277657,14,0.242270,-nan,-nan,0.278707,-nan,-nan
0.285747,13,0.242147,-nan,-nan,0.286780,-nan,-nan
0.281806,14,0.243141,-nan,-nan,0.282845,-nan,-nan
0.283138,14,0.244854,-nan,-nan,0.284171,-nan,-nan
0.272532,13,0.245048,-nan,-nan,0.272857,-nan,-nan
0.274138,14,0.246388,-nan,-nan,0.275202,-nan,-nan
0.274679,14,0.245045,-nan,-nan,0.275727,-nan,-nan
0.278257,14,0.245367,-nan,-nan,0.279277,-nan,-nan
0.271904,14,0.245070,-nan,-nan,0.272861,-nan,-nan
0.277462,14,0.243660,-nan,-nan,0.277992,-nan,-nan
0.285023,14,0.243542,-nan,-nan,0.285981,-nan,-nan
0.277820,14,0.244272,-nan,-nan,0.277952,-nan,-nan
0.270297,14,0.244787,-nan,-nan,0.270418,-nan,-nan
