PING 10.0.0.1 (10.0.0.1) 1116(1144) bytes of data.
1124 bytes from 10.0.0.1: icmp_seq=38 ttl=64 time=0.072 ms
1124 bytes from 10.0.0.1: icmp_seq=39 ttl=64 time=0.072 ms
1124 bytes from 10.0.0.1: icmp_seq=40 ttl=64 time=0.061 ms
1124 bytes from 10.0.0.1: icmp_seq=41 ttl=64 time=0.077 ms
1124 bytes from 10.0.0.1: icmp_seq=42 ttl=64 time=0.071 ms
1124 bytes from 10.0.0.1: icmp_seq=43 ttl=64 time=0.071 ms
1124 bytes from 10.0.0.1: icmp_seq=44 ttl=64 time=0.062 ms
1124 bytes from 10.0.0.1: icmp_seq=45 ttl=64 time=0.071 ms
1124 bytes from 10.0.0.1: icmp_seq=46 ttl=64 time=0.071 ms
1124 bytes from 10.0.0.1: icmp_seq=47 ttl=64 time=0.072 ms
1124 bytes from 10.0.0.1: icmp_seq=48 ttl=64 time=0.062 ms
1124 bytes from 10.0.0.1: icmp_seq=49 ttl=64 time=0.076 ms
1124 bytes from 10.0.0.1: icmp_seq=50 ttl=64 time=0.071 ms
1124 bytes from 10.0.0.1: icmp_seq=51 ttl=64 time=0.071 ms
1124 bytes from 10.0.0.1: icmp_seq=52 ttl=64 time=0.060 ms
1124 bytes from 10.0.0.1: icmp_seq=53 ttl=64 time=0.072 ms
1124 bytes from 10.0.0.1: icmp_seq=54 ttl=64 time=0.071 ms
1124 bytes from 10.0.0.1: icmp_seq=55 ttl=64 time=0.071 ms
1124 bytes from 10.0.0.1: icmp_seq=56 ttl=64 time=0.065 ms
1124 bytes from 10.0.0.1: icmp_seq=57 ttl=64 time=0.078 ms
1124 bytes from 10.0.0.1: icmp_seq=58 ttl=64 time=0.071 ms
1124 bytes from 10.0.0.1: icmp_seq=59 ttl=64 time=0.071 ms
1124 bytes from 10.0.0.1: icmp_seq=60 ttl=64 time=0.062 ms
1124 bytes from 10.0.0.1: icmp_seq=61 ttl=64 time=0.071 ms
1124 bytes from 10.0.0.1: icmp_seq=62 ttl=64 time=0.071 ms
1124 bytes from 10.0.0.1: icmp_seq=63 ttl=64 time=0.071 ms
1124 bytes from 10.0.0.1: icmp_seq=64 ttl=64 time=0.062 ms
1124 bytes from 10.0.0.1: icmp_seq=65 ttl=64 time=0.078 ms
1124 bytes from 10.0.0.1: icmp_seq=66 ttl=64 time=0.071 ms
1124 bytes from 10.0.0.1: icmp_seq=67 ttl=64 time=0.071 ms
1124 bytes from 10.0.0.1: icmp_seq=68 ttl=64 time=0.060 ms
1124 bytes from 10.0.0.1: icmp_seq=69 ttl=64 time=0.071 ms
1124 bytes from 10.0.0.1: icmp_seq=70 ttl=64 time=0.072 ms
1124 bytes from 10.0.0.1: icmp_seq=71 ttl=64 time=0.071 ms
1124 bytes from 10.0.0.1: icmp_seq=72 ttl=64 time=0.060 ms
1124 bytes from 10.0.0.1: icmp_seq=73 ttl=64 time=0.078 ms
1124 bytes from 10.0.0.1: icmp_seq=74 ttl=64 time=0.071 ms
1124 bytes from 10.0.0.1: icmp_seq=75 ttl=64 time=0.072 ms
1124 bytes from 10.0.0.1: icmp_seq=76 ttl=64 time=0.061 ms
